Group;Question Label;Topic Label;Year;Akse;Ordforklaring;Antpers;Farveskala;Gennemsnit;Score (Indekseret score) (gennemsnit) (label);Score (Indekseret score) (gennemsnit);Score (Indekseret score);Score
Mænd, 45 - 54 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5428;31,29475211;;;;84,69505293;8,469505293
Mænd, 35 - 44 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";3564;29,01671454;;;;77,81098936;3,890549468
Mænd, 35 - 44 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";3567;22,43286371;;;;81,69776329;4,084888164
Mænd, 35 - 44 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";3573;25,85950867;;;;84,46769546;8,446769546
Mænd, 25 - 34 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";1926;37,92783029;;;;78,4008749;3,920043745
Mænd, 25 - 34 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";1920;46,46340862;;;;84,37955001;4,2189775
Mænd, 25 - 34 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";1930;-9,458750824;;;;82,99032457;8,299032457
Mænd, 18 - 24 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";617;48,7276545;;;;79,11578652;3,955789326
Mænd, 18 - 24 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";619;26,37779829;;;;82,13801436;4,106900718
Mænd, 18 - 24 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";619;-57,3434657;;;;80,98729599;8,098729599
Mænd;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";16645;27,68050133;;;;77,7225366;3,88612683
Mænd;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";16653;10,71371179;;;;80,38991671;4,019495835
Mænd;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";16682;4,303428569;;;;83,56599969;8,356599969
Kvinder, 55 - 64 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5651;-38,44577765;;;;73,34520194;3,667260097
Kvinder, 55 - 64 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5649;-53,53659138;;;;73,21964194;3,660982097
Kvinder, 55 - 64 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5665;7,151516937;;;;83,68513588;8,368513588
Kvinder, 45 - 54 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";6464;-13,36969366;;;;75,00515337;3,750257668
Kvinder, 45 - 54 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";6467;-10,67982419;;;;78,00241776;3,900120888
Kvinder, 45 - 54 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";6475;32,34146081;;;;84,738837;8,4738837
Kvinder, 35 - 44 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";4332;-28,62699381;;;;73,99517202;3,699758601
Kvinder, 35 - 44 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";4336;0,139448131;;;;79,2098386;3,96049193
Kvinder, 35 - 44 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";4340;9,52131412;;;;83,78426504;8,378426504
Kvinder, 25 - 34 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";2345;-51,27234551;;;;72,49612679;3,62480634
Kvinder, 25 - 34 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";2345;7,761901573;;;;80,0604974;4,00302487
Kvinder, 25 - 34 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";2352;-67,65853919;;;;80,5558141;8,05558141
Kvinder, 18 - 24 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";667;4,151003585;;;;76,16496391;3,808248195
Kvinder, 18 - 24 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";665;15,13396148;;;;80,88321251;4,044160625
Kvinder, 18 - 24 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";668;-48,27405881;;;;81,36667135;8,136667135
Kvinder;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";19459;-27,68050133;;;;74,0578266;3,70289133
Kvinder;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";19462;-10,71371179;;;;77,99863593;3,899931797
Kvinder;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";19500;-4,303428569;;;;83,20597289;8,320597288
Mænd, 55 - 64 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5090;34,61792928;;;;58,62371528;2,931185764
Mænd, 55 - 64 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5074;45,7823218;;;;61,03736972;3,051868486
Mænd, 55 - 64 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";4894;33,9537528;;;;55,24616172;2,762308086
Mænd, 45 - 54 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5425;20,0092154;;;;58,25628376;2,912814188
Mænd, 45 - 54 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5399;22,73691278;;;;60,03518088;3,001759044
Mænd, 45 - 54 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";5175;-6,624371705;;;;54,51932174;2,725966087
Mænd, 35 - 44 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3620;19,33288111;;;;58,23927292;2,911963646
Mænd, 35 - 44 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3603;-19,05241385;;;;58,21786459;2,91089323
Mænd, 35 - 44 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";3380;-2,710970315;;;;54,58941903;2,729470952
Mænd, 25 - 34 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";2011;13,71258298;;;;58,09791382;2,904895691
Mænd, 25 - 34 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";1971;-20,75168301;;;;58,14396751;2,907198375
Mænd, 25 - 34 år;Arbejdsmiljøet skal være bedre end reglerne kræver;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad er holdningen på din arbejdsplads, at arbejdsmiljøet skal være bedre end reglerne kræver?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";1837;-10,6795992;;;;54,44668405;2,722334202
Mænd, 18 - 24 år;Medarbejderne inddrages i beslutninger om eget arbejdsmiljø;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad bliver medarbejderne på din arbejdsplads involveret i beslutninger, som påvirker jeres arbejdsmiljø?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";636;-31,60370064;;;;56,95813994;2,847906997
Mænd, 18 - 24 år;Arbejdsmiljøproblemer skal forebygges;Arbejdspladsens prioritering af arbejdsmiljø;2018;Score;"Spørgsmål: I hvilken grad prioriterer din arbejdsplads forebyggelse af arbejdsmiljøproblemer højt?

- 1. Slet ikke
- 2. I ringe grad
- 3. I nogen grad
- 4. I høj grad
- 5. Ved ikke

I resultaterne præsenteres den gennemsnitlige score (1-4). Personer, der har svaret 'Ved ikke' (svarkategori 5), er ikke taget med i beregningerne.";628;17,31962188;;;;59,79959606;2,989979803
